epoch,acc,loss,val_acc,val_loss
0,0.29397796978206514,2.873162187975477,0.32824427491114244,2.4520219709723206
1,0.4196293120329648,2.2123916897372107,0.5583048170257412,1.5708247115342797
2,0.48057515991055694,1.920643313564338,0.6159515664055963,1.3693664704978261
3,0.5207440142156298,1.7314154960873118,0.650434325026286,1.2768166646043637
4,0.5594617769315747,1.5797887830367527,0.6709660436015721,1.2090361691927025
5,0.5826132840527117,1.4673589393383484,0.6914977627730614,1.1432689196123955
6,0.6007519292608114,1.367143522221938,0.7051855752925617,1.0508761687101769
7,0.6252885693673778,1.2864719013151587,0.7291392472487558,1.0092572771771766
8,0.6481102829667967,1.1990634821373525,0.7399315610155365,0.9717693889288564
9,0.666842556571388,1.1265993839549118,0.7494077389571001,0.8914435956000528
10,0.6881472197892712,1.04662558462931,0.7530929193932246,0.908638139874347
11,0.6969856869009914,1.020708455140543,0.7449328772141199,0.9234484612361228
12,0.7081327088652417,0.9839997313895552,0.7709923664906615,0.8319822017002432
13,0.7187520612214771,0.9365265241643306,0.7844169519706349,0.7712232914840776
14,0.7293054547263327,0.8955154747771412,0.7917873124663345,0.7371120475473828
15,0.7409141876398593,0.8662430483710993,0.804422216325661,0.711700994973435
16,0.7449376690034683,0.8392220517669219,0.7988944459852654,0.697539836819406
17,0.7543697645038172,0.8062303672246667,0.8207423006211121,0.6337662365098287
18,0.7676934239087653,0.765753247201085,0.8133719401881707,0.6822169690296568
19,0.7705296484243507,0.7536408178457664,0.7978415372623334,0.6853488638828416
20,0.7767957258244931,0.7285806038756931,0.8294287970675454,0.6011239348288805
21,0.7884044588127171,0.6915936621864163,0.832324295883023,0.5971177260666717
22,0.7935492381690383,0.6822604147069774,0.8231113450437447,0.5871753431395751
23,0.798496141407611,0.6589592069585974,0.8325875230480665,0.5701221752461711
24,0.8044324252781724,0.6394468004632284,0.833640431645482,0.5708937606675966
25,0.8143921904808912,0.6182835063592448,0.8375888391211335,0.5556991471996995
26,0.8186795066209874,0.6052085390766208,0.847065017062697,0.5350315290615727
27,0.8157773233876915,0.5939981493096137,0.8299552516329756,0.5431798188333042
28,0.8220434007878339,0.5773241069030498,0.8446959725773061,0.5410927313978844
29,0.8347178270042194,0.5407361108731117,0.8510134245383485,0.529312851790473
30,0.8360168931783779,0.5353792944166628,0.8491708346811462,0.504894109188365
31,0.8335202163013224,0.5364438542101898,0.8628586470280613,0.48072860326601285
32,0.8446729957805907,0.5101074688608134,0.8610160568099989,0.470681890747239
33,0.8463112048837209,0.5060117398392986,0.8623321929333178,0.4808784045492796
34,0.8470417517925676,0.4874443344461769,0.8636483285859498,0.4657165926988265
35,0.8540993338013048,0.47624660783750966,0.8715451434117363,0.44837589243833376
36,0.8531118143459916,0.46795529290593624,0.8736509607320837,0.45053263969187923
37,0.8556816680569502,0.4622834444663543,0.873650960794842,0.4379369440157811
38,0.8581228150744904,0.45525984320907276,0.8723348249068665,0.4372524633850666
39,0.8660378602562067,0.4293148279166475,0.8773361413407934,0.42627578928270415
40,0.8616186267317981,0.442982974109671,0.8839168204668792,0.4019080288286553
41,0.8713080168776371,0.4171965251271986,0.886812319282357,0.42372272354453827
42,0.8697373629859244,0.4191055650153795,0.8731245065118238,0.43741670820031486
43,0.8781742628760344,0.39671179843970306,0.8894445663158691,0.3942392581662447
44,0.8723039376995949,0.40416988298659606,0.8907607266952503,0.38465689558454425
45,0.8812631856540084,0.3815458902641188,0.8899710452001199,0.40003799796732015
46,0.8823412960038519,0.3810834164581372,0.8936562254479697,0.3836474901800188
47,0.8837807531777004,0.3804256392908351,0.886812319282357,0.3895585551469632
48,0.8887936151968867,0.3614702077213783,0.8902342723651634,0.37781859497767933
49,0.889123408738262,0.3594170089946967,0.8989207687488384,0.36971309773229744
50,0.8907064177746052,0.3530498625566003,0.8865490918192119,0.3853058744870101
51,0.88694677131329,0.3540363202728938,0.8994472231416836,0.35272871962375596
52,0.8949762658227848,0.3374660356198182,0.8852329559939948,0.4053918763693147
53,0.8945492938292661,0.334582920925306,0.8904974995302068,0.3732271907862377
54,0.896180990656576,0.33268730933382695,0.8991839959766401,0.35076466738534434
55,0.8992150913449503,0.3205101733013568,0.9012898133597458,0.34238603675826723
56,0.8994129674469731,0.32641707365462214,0.9044485392147505,0.35048073353689574
57,0.9050854164584867,0.31174077424137503,0.9015530403365145,0.3446686175676608
58,0.9023811093822537,0.3071070593824708,0.9026059490594465,0.3553190294159937
59,0.9026239451476793,0.3141992131586065,0.9062911294328128,0.33310389173959676
60,0.9066253133620626,0.2979675865360563,0.910239536845706,0.33101579998787783
61,0.9047556229092485,0.29839101284948755,0.9152408530442895,0.3215951574071516
62,0.9103621132738177,0.29153650283152993,0.901553040462031,0.35638994690806464
63,0.9098760548523207,0.2862444485258704,0.9131350356611838,0.32317844860081174
64,0.9076151510719512,0.28700106557160204,0.9083969467531602,0.32779991110552925
65,0.9103621133092006,0.28319119641455487,0.9083969467531602,0.344104587631685
66,0.9131983377972659,0.2717661591524751,0.9141879443213575,0.32331229869112527
67,0.9122749158318789,0.27651073109835483,0.9147143987142026,0.32371818881641723
68,0.915177099092695,0.27247186736069506,0.9226112135399891,0.3085586095788222
69,0.9182771584201509,0.26225816768900434,0.9160305344766615,0.32657210151516597
70,0.9161005210384248,0.2625577503443157,0.9149776258164878,0.32188336213079366
71,0.9185409932949244,0.26305265513048914,0.9212950777147719,0.29183722854005756
72,0.9151111403553273,0.26315844198163646,0.9123453541660534,0.3252941201582931
73,0.9236198139610552,0.24915565326677197,0.9197157147245113,0.3007640611359746
74,0.9246751533186174,0.2340363791133442,0.9226112136027473,0.30048526816068116
75,0.9204537958883687,0.2517067416288569,0.9152408530442895,0.3162173346708749
76,0.9230921442390282,0.24344796281983408,0.9176098974669221,0.31884427461209314
77,0.9249389881226249,0.238837270810291,0.9170834431368352,0.29683799200322825
78,0.9235891350210971,0.23911004989773413,0.924190576593008,0.28627489101230924
79,0.926686023413482,0.23740693769087431,0.9168202160345501,0.3004673715326842
80,0.9278085443037974,0.22805009485234187,0.9105027640107495,0.3267595116073566
81,0.9269499800891821,0.22669441735951365,0.9199789418895548,0.28149917765286886
82,0.9296545358649789,0.22137480170980786,0.923664122262921,0.2809398785394316
83,0.9329199920495718,0.2178557521498547,0.9170834431368352,0.31966054154779133
84,0.930513395767689,0.22142528132306283,0.923137667870076,0.28863909834307977
85,0.9287315400843882,0.22110263187485404,0.9131350356611838,0.31093911929377194
86,0.9346047247897293,0.20473259720217274,0.9218215320448588,0.31127371593317443
87,0.9330168776371308,0.2175382808762512,0.9273493025735291,0.2746714534501271
88,0.9361224758352849,0.20747416968752028,0.9089234010204889,0.3741773113855471
89,0.9335795791480481,0.21509388012221947,0.9234008950351194,0.2839870288846492
90,0.9313369830407486,0.2160672722642949,0.9189260332921393,0.3044148248280309
91,0.9360860101419155,0.1978664580415857,0.9220847592726604,0.2998019856751106
92,0.9364817623459611,0.20631914384391345,0.9231376679328342,0.3024768388978931
93,0.9333817030185052,0.2052788717422705,0.9247170309230948,0.28709519089884306
94,0.9336455378225128,0.20135567461753945,0.9262963939133554,0.2802173723654234
95,0.9402414088780423,0.18956576438419076,0.9215583049425736,0.3018021406421978
96,0.9378668952527615,0.19823923536187057,0.9257699395832686,0.27358294699844105
97,0.9365770042194093,0.19582958244384593,0.9220847592726604,0.30340127068370476
98,0.9399498481894918,0.18818297759494948,0.9273493024480126,0.27469150812045684
99,0.9434733855898104,0.18179795587588077,0.928665438335988,0.27525076465438497
